Title,MSRP,BID,Condition,Time remaining,Image url,url
"Lot 1 - 8BitDo Ultimate 2.4g Wireless Controller With Charging Dock, 2.4g Controller for",49.99$,8.0$,"Used, Good Condition",4:34:34,https://vistaauction.blob.core.windows.net/assets/media/0df058e0-1f94-4ab6-a13b-3e4ed173e1b8_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360599612/8BitDo-Ultimate-24g-Wireless-Controller-With-Charging-Dock-24g-Controller-for
Lot 2 - KYB SM5514 - Mount Plate,42.57$,2.0$,New,4:34:45,https://vistaauction.blob.core.windows.net/assets/media/71bb5651-dbf9-4b53-be89-db6b9610307d_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360599802/KYB-SM5514-Mount-Plate
"Lot 4 - Flexzilla Garden Hose 5/8 in. x 50 ft, Heavy Duty, Lightweight, Drinking Water S",39.79$,9.0$,"Used, Good Condition, dirty",4:35:08,https://vistaauction.blob.core.windows.net/assets/media/9b6bad8d-f6c3-4502-921d-8f3dd5636fef_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360600184/Flexzilla-Garden-Hose-58-in-x-50-ft-Heavy-Duty-Lightweight-Drinking-Water-S
Lot 5 - Empire Brass J68-OFS Tub/Shower Diverter,72.21$,1.0$,Lightly Used,4:35:19,https://vistaauction.blob.core.windows.net/assets/media/79cade52-a3ce-454c-9799-88d61538156a_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360600334/Empire-Brass-J68OFS-TubShower-Diverter
"Lot 7 - SL SPIRIT LINEN HOME EST. 1988 - King Sheet Set, Super Soft Pleated Microfiber B",39.97$,22.05$,New,4:35:42,https://vistaauction.blob.core.windows.net/assets/media/422a0fcc-8941-40bc-b6f0-288ca885a632_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360600722/SL-SPIRIT-LINEN-HOME-EST-1988-King-Sheet-Set-Super-Soft-Pleated-Microfiber-B
"Lot 8 - Chefman Anti-Overflow Belgian Waffle Maker w/Shade Selector, Temperature Control",39.99$,12.0$,"New, bottom broken look at the photo",4:35:53,https://vistaauction.blob.core.windows.net/assets/media/97b05f34-4cbf-46b6-bc10-4fa76b0f0c95_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360600913/Chefman-AntiOverflow-Belgian-Waffle-Maker-wShade-Selector-Temperature-Control
"Lot 12 - V-Line Top Draw Locking Tactical Gun Storage Box, Black",203.29$,20.0$,New,4:36:39,https://vistaauction.blob.core.windows.net/assets/media/f8c5b74a-edba-4643-b58d-a4f8a949af78_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360601679/VLine-Top-Draw-Locking-Tactical-Gun-Storage-Box-Black
"Lot 14 - Pasta Maker Machine, 150 Roller Pasta Maker, 7 Adjustable Thickness Settings, 2-",54.99$,8.0$,"Used, dirty",4:37:01,https://vistaauction.blob.core.windows.net/assets/media/51deda94-96c0-4bdc-b984-5141c731df54_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360602061/Pasta-Maker-Machine-150-Roller-Pasta-Maker-7-Adjustable-Thickness-Settings-2
"Lot 19 - Braun All-in-One Style Kit Series 3 3460, 6-in-1 Trimmer for Men with Beard Trim",34.94$,5.0$,Lightly Used,4:37:58,https://vistaauction.blob.core.windows.net/assets/media/029fa1ce-3944-4986-a38f-559d617bc78f_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360602980/Braun-AllinOne-Style-Kit-Series-3-3460-6in1-Trimmer-for-Men-with-Beard-Trim
"Lot 21 - BLACK+DECKER dustbuster QuickClean Cordless Handheld Vacuum, White (HNVC215B10)",37.83$,8.2$,Lightly Used,4:38:20,https://vistaauction.blob.core.windows.net/assets/media/23f63cd9-af9e-4014-b173-44f9c8f41827_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360603364/BLACKDECKER-dustbuster-QuickClean-Cordless-Handheld-Vacuum-White-HNVC215B10
"Lot 22 - Rowenta X-Cel Handheld Steamer for Clothes 25 Second Heatup, 6.7 Ounce Capacity,",99.99$,14.0$,"Used, Good Condition",4:38:32,https://vistaauction.blob.core.windows.net/assets/media/fec8814b-42a0-4065-8691-869c6c8e4175_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360603555/Rowenta-XCel-Handheld-Steamer-for-Clothes-25-Second-Heatup-67-Ounce-Capacity
"Lot 24 - Tommy Hilfiger Men's Undershirts Multipack Cotton Classics A-Shirts, Black, Larg",46.0$,18.0$,"New, size L",4:38:54,https://vistaauction.blob.core.windows.net/assets/media/3e25bb5e-2407-4f92-b2c1-393e219d1d86_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360603937/Tommy-Hilfiger-Mens-Undershirts-Multipack-Cotton-Classics-AShirts-Black-Larg
"Lot 25 - Tovolo Stainless Steel Traveler (Mint/White) - 2 Quart Insulated, Vacuum-Insulat",37.07$,5.0$,Lightly Used,4:39:05,https://vistaauction.blob.core.windows.net/assets/media/b0eccc09-f96a-4027-8245-d0f995d9d654_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360604128/Tovolo-Stainless-Steel-Traveler-MintWhite-2-Quart-Insulated-VacuumInsulat
"Lot 26 - Waterpik Aquarius Water Flosser Professional For Teeth, Gums, Braces, Dental Car",99.99$,19.0$,"Used,dirty",4:39:17,https://vistaauction.blob.core.windows.net/assets/media/de2c91c4-d800-489b-9198-021a591b9643_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360604319/Waterpik-Aquarius-Water-Flosser-Professional-For-Teeth-Gums-Braces-Dental-Car
Lot 28 - WAHL Deluxe Pro Series Cordless Lithium Ion Clipper Kit for Dog Grooming at Home,54.99$,12.0$,"Used, Good Condition",4:39:39,https://vistaauction.blob.core.windows.net/assets/media/26712e05-3b77-474d-abc4-c7c146e18649_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360604706/WAHL-Deluxe-Pro-Series-Cordless-Lithium-Ion-Clipper-Kit-for-Dog-Grooming-at-Home
"Lot 33 - Shock Doctor Compression Shorts with Protective Bio-Flex Cup, Moisture Wicking V",29.99$,1.0$,"Lightly Used, size M",4:40:35,https://vistaauction.blob.core.windows.net/assets/media/31d358df-2b4c-41ce-ad81-d8e458d99348_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360605625/Shock-Doctor-Compression-Shorts-with-Protective-BioFlex-Cup-Moisture-Wicking-V
"Lot 34 - FUTURO Firm Pantyhose , Large, Nude (20-30 mm/Hg)",31.73$,1.0$,"New, size L",4:40:47,https://vistaauction.blob.core.windows.net/assets/media/051dc1d4-1255-4d2e-b96a-1cfd6cf11924_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360605816/FUTURO-Firm-Pantyhose-Large-Nude-2030-mmHg
Lot 35 - Rich Choices 120% Density Silk Base Top Hairpiece 100% Human Hair Clip In On Hai,147.9$,18.0$,New,4:40:58,https://vistaauction.blob.core.windows.net/assets/media/55e03016-3c7f-4e3c-a8b0-0dfd1b4604d0_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360606008/Rich-Choices-120-Density-Silk-Base-Top-Hairpiece-100-Human-Hair-Clip-In-On-Hai
"Lot 37 - Rubie's womens Go-go Girl Party Supplies, As Shown, Large US",27.49$,2.0$,Lightly Used,4:41:21,https://vistaauction.blob.core.windows.net/assets/media/fdc9c450-519e-4dcf-a934-659c637d4c3d_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360606348/Rubies-womens-Gogo-Girl-Party-Supplies-As-Shown-Large-US
Lot 39 - Chahuapy Solid Summer Halter Dresses for Women Belt Waist Ruffle Mini Dress Cute,27.99$,5.0$,"Used, Good Condition, size L",4:41:40,https://vistaauction.blob.core.windows.net/assets/media/7b8a0897-4aad-46a5-8404-e158a3800683_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360606692/Chahuapy-Solid-Summer-Halter-Dresses-for-Women-Belt-Waist-Ruffle-Mini-Dress-Cute
"Lot 41 - London Times Women's Sleeveless Midi Lace Fit & Flare Dress w. Asymetrical Hem,",124.98$,6.0$,"New, size 8",4:41:58,https://vistaauction.blob.core.windows.net/assets/media/f9759628-65a2-45d4-983f-45a615af6d31_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360606951/London-Times-Womens-Sleeveless-Midi-Lace-Fit-Flare-Dress-w-Asymetrical-Hem
"Lot 42 - TEREA Women's Brielle Adjustable Hem Mini Tank Dress, Black, L",69.9$,5.0$,"New, size L",4:42:04,https://vistaauction.blob.core.windows.net/assets/media/a50e9cee-4864-45c2-84ed-d83f3e2dec84_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360607141/TEREA-Womens-Brielle-Adjustable-Hem-Mini-Tank-Dress-Black-L
"Lot 45 - FUTURO Firm Pantyhose , Large, Nude (20-30 mm/Hg)",31.73$,1.0$,"New, size L",4:42:38,https://vistaauction.blob.core.windows.net/assets/media/ef9d6020-58ef-42ef-a703-c353d577d56b_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360607714/FUTURO-Firm-Pantyhose-Large-Nude-2030-mmHg
"Lot 46 - Maidenform Women's Pure Genius T-Back Bra , Black,34B",44.0$,6.0$,"New, size 34 B",4:42:49,https://vistaauction.blob.core.windows.net/assets/media/c73ea1af-2167-469b-982d-cbea19267856_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360607909/Maidenform-Womens-Pure-Genius-TBack-Bra-Black34B
"Lot 50 - Amazon Basics Ultralight Sleeping Pad for Backpacking Hiking, Folding,Inflatable",28.38$,6.0$,like new,4:43:34,https://vistaauction.blob.core.windows.net/assets/media/c3037b2e-529e-4320-ac61-a083bb4429ce_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360608632/Amazon-Basics-Ultralight-Sleeping-Pad-for-Backpacking-Hiking-FoldingInflatable
"Lot 51 - Philips Norelco Genuine Replacement Head for Series 6000 Shavers, Black, 1 Count",44.96$,2.0$,New,4:43:46,https://vistaauction.blob.core.windows.net/assets/media/f46ff10f-c52f-46e7-a819-0e04e8e4b91c_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360608823/Philips-Norelco-Genuine-Replacement-Head-for-Series-6000-Shavers-Black-1-Count
"Lot 52 - Jordan Big Boys Elephant Print Elite Snapback Hat (as1, Age, 8_Years, 18_Years,",34.89$,2.0$,"New, 8-20",4:43:57,https://vistaauction.blob.core.windows.net/assets/media/2b21aed7-feff-41fe-9b1e-3f85e9982918_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360608932/Jordan-Big-Boys-Elephant-Print-Elite-Snapback-Hat-as1-Age-8-Years-18-Years
"Lot 54 - SAMSUNG Galaxy S22+ Leather Cover, Protective Phone Case, Camera Lens Protection",45.89$,2.0$,New,4:44:20,https://vistaauction.blob.core.windows.net/assets/media/40d5baf3-cb52-44c8-8112-45406c423576_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360609312/SAMSUNG-Galaxy-S22-Leather-Cover-Protective-Phone-Case-Camera-Lens-Protection
Lot 55 - Eomenie Women's One Piece Swimsuits Tummy Control Cutout High Waisted Bathing Su,35.99$,7.0$,"New, size M",4:44:31,https://vistaauction.blob.core.windows.net/assets/media/7e3dee5f-f47c-4f1d-863c-fdc9a16d590a_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360609503/Eomenie-Womens-One-Piece-Swimsuits-Tummy-Control-Cutout-High-Waisted-Bathing-Su
"Lot 56 - FREETOO Back Braces for Lower Back Pain Relief with 6 Stays, Breathable Back Sup",49.99$,5.0$,"New, size S",4:44:42,https://vistaauction.blob.core.windows.net/assets/media/b72644ce-8ab7-4f61-b2ff-cee294ee30bc_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360609694/FREETOO-Back-Braces-for-Lower-Back-Pain-Relief-with-6-Stays-Breathable-Back-Sup
"Lot 61 - FUTURO Firm Pantyhose , Large, Nude (20-30 mm/Hg)",31.73$,1.0$,New,4:45:38,https://vistaauction.blob.core.windows.net/assets/media/7c950013-8e7c-4b85-91fa-0cc6426949f7_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360610652/FUTURO-Firm-Pantyhose-Large-Nude-2030-mmHg
"Lot 63 - Arena Women's Standard 5043, Asphalt-Black-White-Black, 38",50.0$,4.0$,"New, size 38",4:46:01,https://vistaauction.blob.core.windows.net/assets/media/4a0dd4d9-b923-4569-bc6f-07034f98b58c_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360611034/Arena-Womens-Standard-5043-AsphaltBlackWhiteBlack-38
Lot 65 - Spacelab Payloads: Prepping Experiments and Hardware for Flight (Springer Praxis,29.99$,1.0$,New,4:46:23,https://vistaauction.blob.core.windows.net/assets/media/ded5abec-5be2-4096-b23a-3cc231186e0c_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360611375/Spacelab-Payloads-Prepping-Experiments-and-Hardware-for-Flight-Springer-Praxis
"Lot 66 - Chantelle Women's C Ideal Back Smoothing Bra, Nude Blush, 38G",78.0$,2.0$,"New, size 38 G",4:46:34,https://vistaauction.blob.core.windows.net/assets/media/a303a948-85a3-442b-a8ce-f5be4017420e_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360611565/Chantelle-Womens-C-Ideal-Back-Smoothing-Bra-Nude-Blush-38G
"Lot 69 - Full Size Mattress Protector, Waterproof Breathable Noiseless Full Size Mattress",37.99$,4.0$,New,4:47:08,https://vistaauction.blob.core.windows.net/assets/media/2293cca6-039b-4e2b-85c1-12569a40e6ce_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360612138/Full-Size-Mattress-Protector-Waterproof-Breathable-Noiseless-Full-Size-Mattress
"Lot 72 - True & Co Womens Body V Neck Bra, Sierra Mint, XL 38C-D 40A-B US",48.47$,9.0$,"Used, Good Condition, size XL",4:47:42,https://vistaauction.blob.core.windows.net/assets/media/f72cd808-42b1-46dd-b50f-63f3037a8692_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360612714/True-Co-Womens-Body-V-Neck-Bra-Sierra-Mint-XL-38CD-40AB-US
"Lot 75 - HALO RA6069S1EWHDMR Canless Gimbal LED Recessed Light Selectable 2700K, 3000K, 3",49.9$,2.0$,New,4:48:16,https://vistaauction.blob.core.windows.net/assets/media/7d9d5749-a38f-461e-bbc1-14744e669370_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360613287/HALO-RA6069S1EWHDMR-Canless-Gimbal-LED-Recessed-Light-Selectable-2700K-3000K-3
Lot 80 - Stanley 10-01876-010 The Cool-Grip Camp Percolator Stainless Steel 1.1QT / 1.0L,41.0$,3.0$,"Used, Good Condition",4:49:10,https://vistaauction.blob.core.windows.net/assets/media/f9b11fb9-1615-46ca-8aaa-018d5f651991_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360614245/Stanley-1001876010-The-CoolGrip-Camp-Percolator-Stainless-Steel-11QT-10L
Lot 81 - IT Cosmetics Smooth & Tighten Skincare Set - Includes Confidence in a Neck Cream,81.0$,10.0$,New,4:49:21,https://vistaauction.blob.core.windows.net/assets/media/6386fd97-234a-4d8c-9237-e20982d11d05_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360614439/IT-Cosmetics-Smooth-Tighten-Skincare-Set-Includes-Confidence-in-a-Neck-Cream
"Lot 82 - Skechers Women's GO Walk Pant, Black, Medium",49.0$,5.0$,"Lightly Used, size M",4:49:32,https://vistaauction.blob.core.windows.net/assets/media/c086ded8-b747-47e1-912e-1e9914cc00a9_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360614636/Skechers-Womens-GO-Walk-Pant-Black-Medium
Lot 95 - Sensfun Round Backdrop Cover Polyester Pure White Circle Photography Background,53.99$,9.0$,"Used, Good Condition",4:52:00,https://vistaauction.blob.core.windows.net/assets/media/00c26709-bbbc-4204-9fe2-f4a1cef7101d_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360617088/Sensfun-Round-Backdrop-Cover-Polyester-Pure-White-Circle-Photography-Background
"Lot 96 - DII Woven Placemats Collection Metallic Round Placemat Set, 15"", Wine, 5 Piece",27.99$,2.0$,New,4:52:11,https://vistaauction.blob.core.windows.net/assets/media/1a1e0ca4-8446-4d9b-b796-f418346b33ef_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360617279/DII-Woven-Placemats-Collection-Metallic-Round-Placemat-Set-15-Wine-5-Piece
"Lot 97 - SentrySafe Fireproof Safe Box with Key Lock, Chest Safe for Home with Fire-Resis",39.98$,3.0$,"Used, missing keys",4:52:22,https://vistaauction.blob.core.windows.net/assets/media/b808a6f4-0713-4216-8196-81adcd5063c5_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360617470/SentrySafe-Fireproof-Safe-Box-with-Key-Lock-Chest-Safe-for-Home-with-FireResis
"Lot 99 - T-shirt, 2XL, 4 pcs",45.0$,8.01$,"Used, Good Condition, size 2xl",4:52:38,https://vistaauction.blob.core.windows.net/assets/media/23473242-c9c6-477f-be05-18f1f32798ac_thumbfit.jpg,https://vistaauction.com/Event/LotDetails/360617773/Tshirt-2XL-4-pcs
